case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270728,109615,120,White / Silver,800 - 2400 RPM,110.03 CFM,17 - 39.5 dB,No
270729,109616,120,,800 - 1800 RPM,42.17 CFM,26.5 dB,Yes
270730,109617,140,Black,500 - 1200 RPM,56.89 CFM,21 dB,No
270731,109618,140,Black / White,1200 RPM,86.73 CFM,22.8 dB,No
270732,109619,120,Transparent,1800 - 2000 RPM,69.15 CFM,39.29 dB,No
270733,109620,140,Black / White,1200 RPM,82.1 CFM,19 dB,No
270734,109621,80,Black,800 - 2500 RPM,9.74 - 25.02 CFM,10 - 28 dB,No
270735,109622,80,Clear,2700 RPM,32.95 CFM,26.5 dB,No
270736,109623,120,Black,1200 RPM,60 CFM,26 dB,No
270737,109624,80,,200 - 3000 RPM,23.4 CFM,,Yes
270738,109625,120,Translucent Gray,1250 RPM,51.2 CFM,16 dB,No
270739,109626,80,Black,3000 RPM,37.27 CFM,27 dB,No
270740,109627,140,Black / Red,1000 RPM,60.55 CFM,21.8 dB,No
270741,109628,120,Black / Blue,1400 RPM,27.53 CFM,24 dB,No
270742,109629,80,Red,1500 - 2600 RPM,20 - 34 CFM,18 - 30 dB,No
270743,109630,230,Black,900 RPM,156.27 CFM,25.6 dB,No
270744,109631,140,Black,1000 RPM,58 CFM,23 dB,No
270745,109632,120,Black,2200 RPM,77 CFM,33.5 dB,Yes
270746,109633,120,Black / Gray,2200 RPM,77 CFM,33.5 dB,Yes
270747,109634,40,Translucent Blue,3800 RPM,3.94 CFM,14 dB,No
270748,109635,140,Black / White,1000 RPM,63.33 CFM,19.4 dB,No
270749,109636,140,Orange,700 - 1200 RPM,55.5 - 70.5 CFM,16.4 - 19.2 dB,No
270750,109637,120,Black / Blue,1500 RPM,64.3 CFM,12 - 25 dB,No
270751,109638,80,Translucent Black,4000 RPM,52.8 CFM,45.6 dB,No
270752,109639,120,Black / White,1000 RPM,36.86 CFM,18 dB,No
270753,109640,120,Transparent,2000 RPM,79.8 CFM,38 dB,No
270754,109641,120,Brown,900 - 1300 RPM,37.33 - 54.36 CFM,12.6 - 19.8 dB,No
270755,109642,120,Black,500 - 1800 RPM,70.52 CFM,26.1 dB,Yes
270756,109643,120,Blue,800 - 1500 RPM,32.5 - 82.6 CFM,12.6 - 26.5 dB,No
270757,109644,140,Black / Green,1440 RPM,49.49 CFM,29.3 dB,No
270758,109645,120,Black / White,1200 RPM,50.63 CFM,19.5 dB,No
270759,109646,92,Transparent,2200 RPM,38 CFM,27 dB,No
270760,109647,40,Black / White,4000 RPM,4.34 CFM,18 dB,No
270761,109648,92,Black,1600 RPM,28.8 - 48.9 CFM,18 dB,No
270762,109649,120,Black / Multicolor,1500 RPM,57.67 CFM,24.7 dB,No
270763,109650,120,Clear,1000 RPM,40.99 CFM,19.5 dB,No
270764,109651,140,Black / Blue,1100 - 1500 RPM,71.2 - 93.4 CFM,15.5 - 23.4 dB,No
270765,109652,120,Black,1500 RPM,57.67 CFM,24.7 dB,No
270766,109653,120,Black / Pink,1500 RPM,57.67 CFM,24.7 dB,No
270767,109654,120,Red,1700 RPM,,29.67 dB,No
270768,109655,140,Red,1200 RPM,59.6 CFM,29.4 dB,No
270769,109656,120,Black,600 - 1300 RPM,57.53 CFM,6.9 - 16.05 dB,Yes
270770,109657,140,Black,800 - 1500 RPM,50 - 96.5 CFM,14.5 - 29.6 dB,No
270771,109658,120,Green,600 - 1000 RPM,21.2 - 35.3 CFM,8.9 - 19.89 dB,No
270772,109659,140,Black,700 - 1200 RPM,55.5 - 70.5 CFM,16.4 - 19.2 dB,No
270773,109660,230,Clear,900 RPM,156.27 CFM,25.6 dB,No
270774,109661,120,Black / Green,1500 RPM,57.67 CFM,24.7 dB,No
270775,109662,120,Black,700 - 2200 RPM,77.9 CFM,36.8 dB,Yes
270776,109663,140,White,1000 RPM,83.6 CFM,24.5 dB,No
270777,109664,80,Black,2000 RPM,26 - 44.1 CFM,15.8 dB,No
270778,109665,140,Black / White,1000 RPM,46.87 CFM,15 - 20 dB,No
270779,109666,120,Black,1000 RPM,43.5 CFM,20 dB,No
270780,109667,120,Black / Orange,1500 RPM,50.28 CFM,21.1 dB,No
270781,109668,230,Black / White,900 RPM,156.72 CFM,25.6 dB,No
270782,109669,200,Black,800 RPM,134 CFM,30 dB,No
270783,109670,120,Translucent Black,500 - 1200 RPM,27.6 - 68.4 CFM,60.8 - 14.6 dB,Yes
270784,109671,120,Black,900 - 1800 RPM,,20 - 34 dB,No
270785,109672,120,Blue,1200 RPM,64.37 CFM,16.6 dB,No
270786,109673,200,Red,800 RPM,76 CFM,18 dB,No
270787,109674,120,Transparent,1200 RPM,38.2 CFM,22 dB,No
270788,109675,140,Black / Green,1800 RPM,104 CFM,25.3 dB,No
270789,109676,120,Green,1700 RPM,63.85 CFM,29.67 dB,No
270790,109677,80,Black,3000 RPM,23.4 CFM,,No
270791,109678,120,Clear,2000 RPM,76 CFM,15.5 - 26.9 dB,Yes
270792,109679,120,Black / Green,1500 RPM,57.67 CFM,24.7 dB,No
270793,109680,120,Blue,1200 RPM,43.2 CFM,19.8 dB,No
270794,109681,140,Black,600 - 1300 RPM,89.55 CFM,12.5 - 22.19 dB,Yes
270795,109682,120,Black,600 - 2000 RPM,26.4 - 85.6 CFM,13 - 30 dB,No
270796,109683,140,Black,500 - 1200 RPM,56.89 CFM,21 dB,No
270797,109684,120,Clear,1800 - 2000 RPM,69.15 CFM,39.29 dB,No
270798,109685,120,Black / White,200 - 1000 RPM,44 CFM,5 - 19 dB,Yes
270799,109686,120,Black / Blue,950 - 2000 RPM,66 CFM,30 dB,No
270800,109687,140,Black / Red,1000 RPM,60.55 CFM,21.8 dB,No
270801,109688,140,White / Blue,700 - 1200 RPM,71.8 CFM,17.6 - 26.7 dB,Yes
270802,109689,120,Black / White,800 - 2000 RPM,40.26 - 57.64 CFM,23.7 - 39.2 dB,Yes
270803,109690,120,Black / Blue,1650 RPM,57.24 CFM,26.4 dB,No
270804,109691,120,Red,500 - 1800 RPM,20.42 - 75.98 CFM,14 - 25 dB,Yes
270805,109692,200,Blue,800 RPM,125 CFM,20 dB,No
270806,109693,120,Black,1500 - 3500 RPM,72.47 - 155.08 CFM,23 - 38 dB,Yes
270807,109694,120,Clear,1400 RPM,74 CFM,15 dB,No
270808,109695,140,Green,800 - 1500 RPM,50 - 96.5 CFM,14.5 - 29.6 dB,No
270809,109696,92,Black / White,550 - 1800 RPM,43 CFM,,Yes
270810,109697,140,White,1200 RPM,86.73 CFM,22.8 dB,No
270811,109698,120,Black,1200 RPM,56.22 CFM,18.89 dB,No
270812,109699,140,Translucent Blue,800 RPM,35.31 CFM,13 dB,No
270813,109700,80,Black,1700 RPM,30 CFM,25 dB,No
270814,109701,80,Brown,800 - 1800 RPM,,7 - 17 dB,No
270815,109702,140,Black / Purple,1440 RPM,49.49 CFM,29.3 dB,No
270816,109703,120,Black / White,1800 RPM,55 CFM,33 dB,No
270817,109704,120,Black,1400 RPM,56.5 CFM,23 dB,No
270818,109705,120,Yellow / Black,200 - 2100 RPM,67.56 CFM,,Yes
270819,109706,120,Black,1500 RPM,50.5 CFM,15.7 dB,No
270820,109707,120,Black,1600 RPM,81.45 CFM,18 dB,No
270821,109708,120,Yellow,1100 RPM,44 CFM,12 dB,No
270822,109709,140,Black,2000 RPM,108 CFM,40.7 dB,Yes
270823,109710,140,Clear,200 RPM,83.6 CFM,24.5 dB,No
270824,109711,120,White,700 - 1600 RPM,54.5 CFM,23.5 dB,Yes
270825,109712,140,Silver,1000 RPM,54.7 CFM,17 - 19.6 dB,No
270826,109713,140,White,800 - 1500 RPM,50 - 96.5 CFM,14.5 - 29.6 dB,No
270827,109714,120,Black / White,1300 RPM,54.4 CFM,24.2 dB,No
270828,109715,120,White,750 - 1500 RPM,58 CFM,12 - 25.5 dB,Yes
270829,109716,120,Clear,2000 RPM,74.48 CFM,29.28 dB,No
270830,109717,140,Black / White,1400 RPM,104.93 CFM,28.5 dB,No
270831,109718,120,Black / Red,1100 - 1500 RPM,62.5 - 81.5 CFM,14.8 - 23.1 dB,No
270832,109719,140,Black / White,1200 RPM,82.1 CFM,19 dB,No
270833,109720,140,Black / White,1000 RPM,73.18 CFM,18 dB,No
270834,109721,80,White,1500 - 3500 RPM,15 - 36.87 CFM,18.1 - 34.8 dB,No
270835,109722,120,White,1300 RPM,51.14 CFM,17 dB,No
270836,109723,140,Black / Yellow,1000 - 1400 RPM,51.15 CFM,22.1 - 28.1 dB,No
270837,109724,92,Blue / White,1500 - 2800 RPM,26.8 - 49.5 CFM,14.1 - 27.7 dB,Yes
270838,109725,120,Black / Blue,1500 RPM,57.67 CFM,24.7 dB,No
270839,109726,120,,1200 RPM,36.72 CFM,24.3 dB,No
270840,109727,80,Clear,1500 RPM,24 CFM,14 dB,No
270841,109728,200,Black,900 RPM,148.72 CFM,27.5 dB,No
270842,109729,120,Black,1100 RPM,36 CFM,25 dB,No
270843,109730,120,Orange,1700 RPM,63.85 CFM,29.67 dB,No
270844,109731,120,Black,1200 RPM,56.22 CFM,18.89 dB,No
270845,109732,120,Black,1500 RPM,53 CFM,28 dB,No
270846,109733,120,Clear,2000 RPM,59.8 CFM,36 dB,No
270847,109734,92,Transparent,1300 - 2500 RPM,47 CFM,18.6 - 28 dB,No
270848,109735,140,Black,1000 RPM,60.4 CFM,15.8 dB,No
