case_id,product_id,type,color,power_supply,side_panel_window,external_bays,internal_bays
255442,105442,ATX Full Tower,Black,None,Acrylic,0,7
255443,105443,Mini ITX Tower,White / Black,None,None,0,1
255444,105444,ATX Mid Tower,Black,None,Tempered Glass,0,6
255445,105445,Mini ITX Desktop,Black,None,None,0,3
255446,105446,ATX Mid Tower,Black,None,Tempered Glass,0,5
255447,105447,ATX Mid Tower,White,None,None,0,2
255448,105448,ATX Full Tower,White,None,Acrylic,0,7
255449,105449,Mini ITX Tower,Black / Red,None,Tempered Glass,0,1
255450,105450,ATX Desktop,Black / Silver,None,Tempered Glass,0,6
255451,105451,ATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255452,105452,Mini ITX Tower,Pink,None,None,0,1
255453,105453,ATX Full Tower,Black / Red,None,Tempered Glass,1,2
255454,105454,ATX Mid Tower,Black,None,None,2,3
255455,105455,ATX Mid Tower,Black,None,Tempered Glass,0,2
255456,105456,ATX Mid Tower,Black,None,None,0,3
255457,105457,ATX Mid Tower,White / Black,None,Tempered Glass,1,6
255458,105458,ATX Mid Tower,Black,None,Tempered Glass,0,2
255459,105459,ATX Mid Tower,Black / Blue,None,Tempered Glass,0,3
255460,105460,HTPC,Black,None,Acrylic,0,0
255461,105461,ATX Mid Tower,White / Black,None,Acrylic,2,2
255462,105462,ATX Mid Tower,White / Black,None,Acrylic,3,6
255463,105463,ATX Mid Tower,Black,None,None,1,2
255464,105464,ATX Mid Tower,Black,None,Acrylic,0,2
255465,105465,ATX Mid Tower,Black,None,Acrylic,0,2
255466,105466,ATX Mid Tower,Black,None,Acrylic,0,2
255467,105467,ATX Mid Tower,Black / Silver,None,None,2,3
255468,105468,ATX Full Tower,Black,None,Acrylic,2,2
255469,105469,ATX Mid Tower,Black / Red,None,Acrylic,0,3
255470,105470,MicroATX Mini Tower,Black / Blue,None,None,1,2
255471,105471,MicroATX Mid Tower,Black,300 W,None,2,1
255472,105472,ATX Mid Tower,Black,None,Acrylic,0,3
255473,105473,ATX Mid Tower,Black,None,Acrylic,4,4
255474,105474,ATX Mid Tower,Black / White,None,None,1,6
255475,105475,MicroATX Mini Tower,Black,None,None,0,1
255476,105476,MicroATX Mini Tower,Black / Red,None,Acrylic,0,1
255477,105477,MicroATX Mini Tower,Black / Red,None,None,1,1
255478,105478,Mini ITX Desktop,Black,None,None,0,1
255479,105479,ATX Mid Tower,Black,None,Tempered Glass,0,2
255480,105480,MicroATX Mini Tower,Black,None,Tempered Glass,0,2
255481,105481,Mini ITX Tower,Black / Red,None,Tempered Glass,0,1
255482,105482,ATX Mid Tower,Black,None,None,0,2
255483,105483,Mini ITX Tower,,None,Tinted Tempered Glass,0,1
255484,105484,ATX Mid Tower,Black,None,Tempered Glass,0,2
255485,105485,MicroATX Mini Tower,Black / Red,None,Acrylic,1,3
255486,105486,ATX Full Tower,Black,None,Acrylic,3,4
255487,105487,ATX Mid Tower,Black,None,Tempered Glass,0,2
255488,105488,HTPC,Black,None,None,0,0
255489,105489,MicroATX Mini Tower,Black / Silver,None,None,1,2
255490,105490,Mini ITX Desktop,White,None,Tinted Tempered Glass,0,2
255491,105491,ATX Mid Tower,Black / Red,None,Acrylic,0,3
255492,105492,ATX Mid Tower,Silver,None,Tempered Glass,1,6
255493,105493,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,3
255494,105494,ATX Mid Tower,Black / Green,None,Acrylic,2,4
255495,105495,ATX Mid Tower,Black,None,Tempered Glass,0,2
255496,105496,ATX Mid Tower,Black / Orange,None,Tempered Glass,0,3
255497,105497,ATX Mid Tower,Black,None,Acrylic,0,2
255498,105498,MicroATX Mini Tower,Black,None,Acrylic,1,2
255499,105499,MicroATX Mini Tower,Black,None,None,0,4
255500,105500,ATX Full Tower,Silver / Black,None,None,5,6
255501,105501,ATX Mid Tower,Black,None,Tempered Glass,0,2
255502,105502,Mini ITX Tower,Gray,None,Tinted Tempered Glass,0,2
255503,105503,ATX Mid Tower,White,None,Tempered Glass,0,2
255504,105504,ATX Mid Tower,Black / Red,None,Tempered Glass,0,4
255505,105505,ATX Mid Tower,Black / Red,None,Acrylic,0,8
