power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
351213,137790,ATX,80+ Silver,1500 W,Semi,
351214,137791,ATX,80+ Bronze,500 W,No,
351215,137792,ATX,80+ Bronze,520 W,No,
351216,137793,ATX,80+ Gold,1350 W,Full,Black / Gold
351217,137794,ATX,80+ Bronze,500 W,No,
351218,137795,ATX,80+ Gold,500 W,No,
351219,137796,ATX,80+ Gold,850 W,Full,
351220,137797,SFX,80+ Gold,500 W,Full,Black
351221,137798,ATX,,450 W,No,
351222,137799,ATX,80+ Gold,1250 W,Full,
351223,137800,ATX,80+ Gold,1650 W,No,Black
351224,137801,ATX,,650 W,No,
351225,137802,ATX,80+ Bronze,450 W,No,
351226,137803,ATX,80+ Bronze,750 W,Semi,
351227,137804,ATX,,500 W,No,
351228,137805,ATX,80+,600 W,No,
351229,137806,ATX,80+ Gold,800 W,Semi,
351230,137807,ATX,80+ Bronze,500 W,Full,
351231,137808,ATX,80+,800 W,No,
351232,137809,ATX,80+,500 W,No,
351233,137810,ATX,80+,350 W,No,
351234,137811,ATX,80+ Bronze,600 W,Semi,
351235,137812,ATX,80+ Bronze,350 W,No,Black
351236,137813,ATX,80+ Bronze,720 W,Semi,
351237,137814,Mini ITX,80+,250 W,No,
351238,137815,TFX,,420 W,No,
351239,137816,ATX,80+ Bronze,850 W,No,
351240,137817,ATX,80+ Gold,800 W,Semi,Black / Gold
351241,137818,ATX,80+ Bronze,500 W,No,
351242,137819,ATX,80+ Bronze,500 W,No,
351243,137820,ATX,80+ Gold,550 W,Semi,
351244,137821,ATX,80+ Bronze,450 W,No,
351245,137822,ATX,80+ Platinum,650 W,Full,Black
351246,137823,ATX,,650 W,No,
351247,137824,ATX,80+ Gold,450 W,Full,
351248,137825,ATX,80+ Gold,850 W,Semi,
351249,137826,ATX,80+ Gold,450 W,No,
351250,137827,ATX,80+ Bronze,550 W,Semi,
351251,137828,SFX,80+,300 W,No,
351252,137829,ATX,80+ Platinum,1200 W,Full,
351253,137830,ATX,80+ Gold,700 W,Semi,
351254,137831,ATX,,350 W,No,
351255,137832,ATX,80+ Gold,800 W,Semi,
351256,137833,ATX,80+ Gold,650 W,Full,
351257,137834,ATX,80+ Bronze,650 W,Semi,
351258,137835,ATX,80+ Gold,650 W,Full,Black
351259,137836,ATX,80+ Platinum,600 W,Full,Black
351260,137837,ATX,,650 W,Full,
351261,137838,ATX,80+ Platinum,460 W,Full,
351262,137839,ATX,80+ Bronze,600 W,Semi,
351263,137840,ATX,80+ Bronze,550 W,No,Black
351264,137841,ATX,80+ Gold,450 W,No,Black
351265,137842,ATX,,750 W,No,
351266,137843,Mini ITX,80+,270 W,No,
351267,137844,ATX,80+ Gold,750 W,Semi,Black
351268,137845,ATX,80+ Platinum,600 W,Semi,
351269,137846,ATX,80+ Bronze,750 W,Semi,
351270,137847,ATX,80+ Silver,1000 W,Semi,
351271,137848,ATX,80+ Gold,1100 W,Full,
351272,137849,ATX,80+ Gold,1000 W,Full,
351273,137850,ATX,80+ Gold,600 W,No,
351274,137851,ATX,80+ Bronze,850 W,Full,
351275,137852,BTX,80+ Titanium,1000 W,Full,Black
351276,137853,ATX,80+ Gold,750 W,Full,
351277,137854,ATX,80+ Silver,600 W,Full,
351278,137855,ATX,80+ Gold,600 W,No,
351279,137856,ATX,80+ Bronze,850 W,Full,
351280,137857,ATX,80+,650 W,No,
351281,137858,ATX,80+ Platinum,850 W,Semi,
351282,137859,ATX,80+ Gold,650 W,Full,Black / Multicolor
351283,137860,Micro ATX,,380 W,No,
351284,137861,ATX,80+ Gold,850 W,Full,
351285,137862,ATX,80+ Bronze,700 W,Semi,
351286,137863,ATX,80+ Bronze,850 W,No,
351287,137864,ATX,80+ Silver,550 W,No,
351288,137865,ATX,80+ Platinum,550 W,Semi,
351289,137866,ATX,80+ Gold,750 W,Semi,
351290,137867,ATX,80+ Bronze,700 W,Semi,
351291,137868,ATX,80+ Gold,580 W,Semi,
351292,137869,ATX,80+ Bronze,650 W,No,
351293,137870,ATX,80+ Platinum,520 W,Full,
351294,137871,ATX,80+ Gold,450 W,Semi,
351295,137872,ATX,80+ Bronze,350 W,No,
351296,137873,ATX,,350 W,No,
351297,137874,ATX,,350 W,No,
351298,137875,ATX,80+ Bronze,400 W,No,
351299,137876,ATX,80+ Bronze,750 W,Semi,
351300,137877,ATX,,1050 W,No,
351301,137878,ATX,80+ Bronze,650 W,No,
