internal_harddrive_id,product_id,capacity,price_per_gb,harddrive_type,cache,form_factor,interface
300298,115644,256 GB,0.18,SSD,256 MB,M.2-2280,M.2 (M)
300299,115645,2 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300300,115646,1 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300301,115647,4 TB,,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
300302,115648,1 TB,0.14,SSD,,M.2-2280,M.2 (M)
300303,115649,500 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
300304,115650,250 GB,0.31,SSD,,M.2-2280,M.2 (M)
300305,115651,60 GB,0.31,SSD,,2.5 in,SATA 6 Gb/s
300306,115652,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300307,115653,256 GB,0.36,SSD,512 MB,2.5 in,SATA 6 Gb/s
300308,115654,128 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
300309,115655,500 GB,0.07,7200 RPM,32 MB,3.5 in,SATA 6 Gb/s
300310,115656,2 TB,0.27,SSD,,M.2-2280,M.2 (M)
300311,115657,1 TB,0.13,SSD,,M.2-2280,M.2 (M)
300312,115658,120 GB,0.94,SSD,,2.5 in,SATA 6 Gb/s
300313,115659,500 GB,0.34,SSD,512 MB,M.2-2280,M.2 (M)
300314,115660,250 GB,0.3,SSD,,M.2-2280,M.2 (M)
300315,115661,500 GB,0.37,SSD,512 MB,M.2-2280,M.2 (M)
300316,115662,120 GB,0.47,SSD,,M.2-2280,M.2 (M)
300317,115663,1 TB,0.08,7200 RPM,32 MB,2.5 in,SATA 6 Gb/s
300318,115664,256 GB,0.23,SSD,512 MB,M.2-2280,M.2 (M)
300319,115665,2 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300320,115666,5 TB,0.03,5400 RPM,128 MB,2.5 in,SATA 6 Gb/s
300321,115667,1 TB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300322,115668,512 GB,0.28,SSD,512 MB,M.2-2280,M.2 (M)
300323,115669,500 GB,0.23,SSD,,M.2-2280,M.2 (M)
300324,115670,10 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300325,115671,4 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300326,115672,2 TB,0.13,SSD,,M.2-2280,M.2 (M)
300327,115673,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
300328,115674,14 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300329,115675,128 GB,,SSD,,M.2-2280,M.2 (B+M)
300330,115676,250 GB,0.14,SSD,,2.5 in,SATA 6 Gb/s
300331,115677,960 GB,,SSD,,2.5 in,SATA 6 Gb/s
300332,115678,250 GB,0.22,SSD,,M.2-2280,M.2 (B+M)
300333,115679,120 GB,0.26,SSD,,2.5 in,SATA 6 Gb/s
300334,115680,14 TB,0.04,7200 RPM,,3.5 in,SATA 6 Gb/s
300335,115681,512 GB,,SSD,,M.2-2280,M.2 (M)
300336,115682,120 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
300337,115683,2 TB,0.13,SSD,,M.2-2280,M.2 (M)
300338,115684,1 TB,0.18,SSD,,M.2-2280,M.2 (M)
300339,115685,500 GB,0.21,SSD,,2.5 in,SATA 6 Gb/s
300340,115686,1 TB,0.14,SSD,512 MB,M.2-2280,M.2 (M)
300341,115687,1 TB,0.31,SSD,1024 MB,2.5 in,SATA 6 Gb/s
300342,115688,500 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
300343,115689,240 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
300344,115690,3 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
300345,115691,2 TB,0.26,SSD,2048 MB,2.5 in,SATA 6 Gb/s
300346,115692,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300347,115693,2 TB,0.09,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
300348,115694,5 TB,0.02,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
300349,115695,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
300350,115696,256 GB,0.21,SSD,,M.2-2280,M.2 (M)
300351,115697,2 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
