mouse_id,product_id,tracking_method,connection_type,maximum_dpi,hand_orientation,color
336292,135648,Optical,Wired,,Right,Black / Silver
336293,135649,Optical,Wired,800,Both,Silver / Black
336294,135650,Laser,Bluetooth Wireless,1600,Right,Black
336295,135651,Laser,Wireless,,Both,Silver
336296,135652,Optical,Wired,,Both,Black
336297,135653,Optical,Wireless,1000,Both,Blue / Black
336298,135654,Optical,Wired,1000,Both,Black
336299,135655,Optical,Wireless,1000,Both,White / Multicolor
336300,135656,Optical,Wireless,1000,Both,White / Black
336301,135657,Laser,Wireless,1200,Both,Black / Red
336302,135658,Optical,Wired,6400,Right,Black
336303,135659,Optical,Wireless,,Both,Black / Red
336304,135660,Optical,Wired,,,White / Gray
336305,135661,Optical,Wireless,,Both,Green
336306,135662,Optical,Wired,,Both,Gray
336307,135663,Laser,Wireless,1600,Both,Black / Pink
336308,135664,Optical,Wireless,1000,Both,Pink
336309,135665,Optical,Wireless,1000,Both,Yellow
336310,135666,Laser,Wireless,1200,Both,Black / Silver
336311,135667,Optical,Wired,3000,Right,Black / Blue
336312,135668,Optical,Wired,2400,Right,Black / Silver
336313,135669,Laser,Wireless,,Both,Black / Red
336314,135670,Optical,Wireless,1000,Both,Purple
336315,135671,Laser,Wireless,,Both,Green
336316,135672,Optical,Wireless,1000,Both,Black
336317,135673,Optical,Wireless,1000,Both,Blue
336318,135674,Optical,Wired,,Both,Gray
336319,135675,Optical,Wired,,Both,Pink
336320,135676,Optical,Wireless,,Both,Black / Orange
336321,135677,Optical,Wired,800,Both,Yellow
336322,135678,Laser,Wireless,1600,Right,Purple
336323,135679,Optical,Wireless,1000,Both,Black
336324,135680,Optical,Wireless,1600,Both,Black / Silver
336325,135681,Laser,Wired,5600,Both,Black
336326,135682,Optical,Wireless,1000,Both,Gray
336327,135683,Optical,Wireless,,Right,Black
336328,135684,Laser,Bluetooth Wireless,,Both,White
336329,135685,Optical,Wired,800,Both,Black
336330,135686,Optical,Wired,800,,Black / Red
336331,135687,Laser,Wired,1600,,Black
336332,135688,Optical,Wired,400,,Black
336333,135689,Optical,Wireless,,,Red / Black
336334,135690,Optical,Wireless,,,Blue
336335,135691,Optical,Wireless,,Both,Yellow / Black
336336,135692,Optical,Wireless,1600,,Red
336337,135693,Optical,Wireless,,,Black
336338,135694,Optical,Wireless,800,,Black / Silver
336339,135695,Optical,Wired,2400,Right,Black
336340,135696,Optical,Wired,1600,Both,Black / Red
336341,135697,Optical,Wireless,1200,Both,Black
336342,135698,Optical,Wired,,,Silver / Black
336343,135699,Laser,Wireless,,,Black
336344,135700,Optical,Wireless,1750,Both,Silver
336345,135701,Optical,Wireless,,,Blue
336346,135702,Optical,Wired,2400,Right,Black / Blue
336347,135703,Optical,Wired,,Both,Gray
336348,135704,Optical,Wireless,1000,Both,Blue / Black
336349,135705,Optical,Wireless,1000,Both,White / Multicolor
336350,135706,Optical,Wireless,1000,Both,White / Pink
336351,135707,Laser,Wired,8200,Right,Black
336352,135708,Optical,Wireless,1000,Both,Silver / Black
336353,135709,Optical,Wired,,Right,Black
