ups_id,product_id,capacity_w,capacity_va
375739,139855,300,500
375740,139856,300,500
375741,139857,450,750
375742,139858,705,1050
375743,139859,1700,2200
375744,139860,2400,3000
375745,139861,2250,3000
375746,139862,2880,3000
375747,139863,650,1050
375748,139864,750,1000
375749,139865,900,1500
375750,139866,450,700
375751,139867,450,700
375752,139868,980,1500
375753,139869,450,750
375754,139870,675,750
375755,139871,900,1500
375756,139872,2100,3000
375757,139873,2100,3000
375758,139874,980,1440
