cpu_cooler_id,product_id,fan_rpm,noise_level,color,radiator_size
280501,112093,800 - 2300 RPM,,Black,120 mm
280502,112094,300 - 1200 RPM,4 - 24.9 dB,,
280503,112095,2200 RPM,30 dB,,
280504,112096,300 - 1800 RPM,4.5 - 26.7 dB,Black / Silver,
280505,112097,800 - 1400 RPM,20 dB,,
280506,112098,300 - 1400 RPM,13 - 18 dB,,
280507,112099,500 - 1800 RPM,17.6 - 31.3 dB,,360 mm
280508,112100,800 - 1800 RPM,18.9 - 25 dB,,
280509,112101,1200 - 2400 RPM,20 - 26.9 dB,,
280510,112102,300 - 1200 RPM,4 - 24.9 dB,Brown / Black,
280511,112103,2400 RPM,8 - 24 dB,,
280512,112104,1500 RPM,26.8 dB,Black,240 mm
280513,112105,500 - 1800 RPM,30 dB,Black,240 mm
280514,112106,900 - 2500 RPM,,Orange,
280515,112107,800 - 2300 RPM,,Black,240 mm
280516,112108,300 - 1200 RPM,4 - 24.9 dB,Black / Yellow,
280517,112109,1600 - 2000 RPM,26 - 31.5 dB,,120 mm
280518,112110,800 - 2400 RPM,6.5 - 27 dB,,120 mm
280519,112111,1500 RPM,35 dB,,140 mm
280520,112112,500 - 2300 RPM,14 - 28 dB,Black,240 mm
280521,112113,1000 - 2000 RPM,20 - 39.9 dB,,
280522,112114,,0 dB,,
280523,112115,800 - 1800 RPM,20 - 35 dB,,
280524,112116,300 - 1300 RPM,21 - 33 dB,Black / White,
280525,112117,600 - 2200 RPM,17.6 - 39.29 dB,,360 mm
280526,112118,500 - 1500 RPM,4.6 - 27.3 dB,,
280527,112119,800 - 1800 RPM,17 - 21 dB,,
280528,112120,600 - 2400 RPM,19 - 40 dB,,120 mm
280529,112121,500 - 1800 RPM,25 dB,,
280530,112122,400 - 1400 RPM,5.3 - 28 dB,,
280531,112123,300 - 1200 RPM,4 - 24.9 dB,,
280532,112124,800 - 1800 RPM,18.9 - 25 dB,,
280533,112125,1000 - 1600 RPM,7.9 - 17.6 dB,,
280534,112126,900 - 1200 RPM,13.4 - 19 dB,,
280535,112127,800 - 1800 RPM,16 - 26 dB,,
280536,112128,900 - 1600 RPM,17.8 - 26.1 dB,,
280537,112129,500 - 1350 RPM,,,240 mm
280538,112130,1600 RPM,26.4 dB,,
280539,112131,200 - 1800 RPM,24.4 dB,,
280540,112132,800 - 2500 RPM,37.6 dB,Black,240 mm
280541,112133,,0 dB,Orange,
280542,112134,800 - 1300 RPM,11 - 20 dB,,
280543,112135,700 - 1500 RPM,18 - 26.4 dB,White,240 mm
280544,112136,500 - 2000 RPM,9.32 - 33.67 dB,,
280545,112137,650 - 3000 RPM,6 - 30 dB,,
280546,112138,600 - 2500 RPM,30 dB,White,
280547,112139,500 - 2300 RPM,14 - 35 dB,,240 mm
280548,112140,1100 RPM,25 dB,Black,240 mm
280549,112141,800 RPM,15 dB,,
280550,112142,900 - 1700 RPM,18 - 30 dB,,
280551,112143,1000 - 2000 RPM,28 dB,,
280552,112144,1000 - 2000 RPM,20 dB,,120 mm
280553,112145,500 - 1800 RPM,17.6 - 31.3 dB,,120 mm
280554,112146,800 - 2000 RPM,21 - 37 dB,,280 mm
280555,112147,200 - 2100 RPM,,Yellow / Black,
280556,112148,500 - 2000 RPM,,,
280557,112149,200 - 1800 RPM,24.4 dB,,
280558,112150,900 - 1800 RPM,11 - 21 dB,,
280559,112151,1000 - 2200 RPM,28.87 dB,,
280560,112152,1000 - 2200 RPM,,Silver / Black,
280561,112153,2500 RPM,20 - 28.3 dB,,
280562,112154,1000 - 2000 RPM,20 dB,,240 mm
280563,112155,300 - 1300 RPM,15 - 21 dB,,
280564,112156,600 - 1600 RPM,32 dB,Black / Silver,
280565,112157,1600 RPM,36 dB,,
280566,112158,1000 - 1700 RPM,17 - 28 dB,,
280567,112159,500 - 1600 RPM,21 dB,Black / Silver,
280568,112160,550 - 1700 RPM,29 dB,Black,120 mm
280569,112161,900 - 1800 RPM,36 dB,Black / White,240 mm
