motherboard_id,product_id,socket_per_cpu,form_factor,ram_slots,max_ram,color
332456,133772,AM3,ATX,4,16 GB,
332457,133773,LGA1151,ATX,4,64 GB,Black / Gold
332458,133774,LGA1155,Mini ITX,2,16 GB,
332459,133775,Integrated C-Series C-70,Mini ITX,2,16 GB,Black / Blue
332460,133776,LGA775,Micro ATX,2,8 GB,
332461,133777,LGA1156,Micro ATX,4,16 GB,Black / Red
332462,133778,FM2+,Micro ATX,4,64 GB,Black / Blue
332463,133779,LGA1155,ATX,4,32 GB,Black / Orange
332464,133780,LGA1151,Micro ATX,2,32 GB,Black / White
332465,133781,FM1,ATX,4,64 GB,Black / Yellow
332466,133782,LGA1151,ATX,4,64 GB,Black / White
332467,133783,LGA1155,Micro ATX,4,32 GB,Brown / Black
332468,133784,LGA1366,ATX,6,24 GB,
332469,133785,LGA1156,Micro ATX,2,8 GB,
332470,133786,LGA1150,ATX,4,32 GB,Black / Green
332471,133787,LGA1155,ATX,4,32 GB,Black / Blue
332472,133788,LGA1155,Micro ATX,2,16 GB,Black / Gray
332473,133789,LGA1150,Micro ATX,2,16 GB,Black / Gray
332474,133790,LGA1155,ATX,4,32 GB,Black / Silver
332475,133791,LGA2011,XL ATX,4,32 GB,Black / Red
332476,133792,LGA1151,ATX,4,64 GB,Black / Red
332477,133793,LGA1155,Micro ATX,2,16 GB,Blue / White
332478,133794,LGA1155,ATX,4,16 GB,Black / White
332479,133795,LGA1155,Micro ATX,2,16 GB,Brown / Black
332480,133796,LGA1150,Mini ITX,2,16 GB,Black / Silver
332481,133797,LGA1155,ATX,4,32 GB,Blue / White
332482,133798,FM2+,Micro ATX,4,32 GB,Black / Red
332483,133799,LGA1155,ATX,4,32 GB,
332484,133800,LGA1155,ATX,4,32 GB,Black
332485,133801,LGA1155,ATX,4,32 GB,Black / Blue
332486,133802,LGA1155,Micro ATX,4,16 GB,
332487,133803,LGA775,Micro ATX,2,8 GB,Blue / White
332488,133804,LGA1155,Micro ATX,2,16 GB,Black / White
332489,133805,FM2,ATX,4,64 GB,Black / Gray
332490,133806,FM2,ATX,4,64 GB,Black / Blue
332491,133807,LGA1150,Micro ATX,4,32 GB,Black / Green
332492,133808,LGA1155,ATX,4,32 GB,
332493,133809,LGA2011-3 Narrow,Micro ATX,4,512 GB,Green / Blue
332494,133810,LGA1150,Mini ITX,2,16 GB,Black / Blue
332495,133811,LGA1150,Micro ATX,4,32 GB,Black / Yellow
332496,133812,LGA1150,ATX,4,32 GB,Black / Red
332497,133813,LGA1155,ATX,4,32 GB,Black / Blue
332498,133814,LGA1150,ATX,4,32 GB,Black / Red
332499,133815,FM2,Micro ATX,2,32 GB,
332500,133816,LGA1150,Mini ITX,2,16 GB,Black / Orange
332501,133817,LGA1150,ATX,4,32 GB,Black / Gold
332502,133818,LGA1150,ATX,4,32 GB,Black / Gold
332503,133819,FM1,ATX,4,32 GB,Blue / White
332504,133820,LGA1155,ATX,4,32 GB,Black / Gold
332505,133821,LGA1155,ATX,4,32 GB,Black / Blue
332506,133822,LGA1150,Micro ATX,4,32 GB,White / Gray
332507,133823,LGA1155,ATX,4,32 GB,
332508,133824,FM1,Micro ATX,4,32 GB,Black / Blue
332509,133825,FM2+,ATX,4,64 GB,Black / Blue
332510,133826,LGA1151,ATX,4,64 GB,Black / Red
332511,133827,LGA2011-3,EATX,8,128 GB,Black / Red
332512,133828,LGA1155,ATX,4,32 GB,Black / Gray
332513,133829,LGA1151,Micro ATX,4,64 GB,Black / Orange
332514,133830,LGA1155,Mini ITX,2,16 GB,Black / Blue
332515,133831,AM3+,ATX,4,32 GB,Black / Blue
332516,133832,LGA1151,Micro ATX,4,64 GB,Black / Orange
332517,133833,LGA1151,Micro ATX,2,32 GB,Black / Gold
332518,133834,LGA1151,Micro ATX,4,64 GB,Black / Gold
332519,133835,AM3,Micro ATX,2,16 GB,Black / Red
332520,133836,AM3/AM2+/AM2,Micro ATX,2,8 GB,Blue / White
332521,133837,AM3,Micro ATX,4,16 GB,Black / Blue
332522,133838,AM3,ATX,4,16 GB,Black / Blue
332523,133839,FM2,Micro ATX,2,32 GB,Black / Blue
332524,133840,Integrated Atom D525,Mini ITX,2,4 GB,Black / Blue
332525,133841,LGA1151,Micro ATX,4,64 GB,Black / Blue
332526,133842,LGA1156,ATX,4,16 GB,Multicolor
332527,133843,LGA1151,ATX,4,64 GB,Black / White
332528,133844,FM1,Micro ATX,2,16 GB,Black / Red
332529,133845,LGA1155,Micro ATX,2,16 GB,Black / Red
332530,133846,AM1,Micro ATX,2,16 GB,Black
332531,133847,LGA1155,ATX,2,8 GB,
332532,133848,LGA1156,ATX,4,16 GB,Black / Gray
332533,133849,LGA1156,ATX,6,16 GB,Blue / White
332534,133850,AM3/AM2+/AM2,Mini ITX,2,4 GB,Blue / Red
332535,133851,AM3,ATX,4,16 GB,Black / Blue
332536,133852,LGA775,ATX,4,16 GB,Multicolor
332537,133853,LGA775,ATX,4,16 GB,Blue / White
332538,133854,LGA1366,XL ATX,6,24 GB,Black / Red
332539,133855,LGA1366,ATX,6,24 GB,Black / Blue
332540,133856,LGA775,Micro ATX,2,4 GB,Black / Red
332541,133857,AM3,Micro ATX,2,8 GB,Multicolor
332542,133858,LGA775,Micro ATX,2,8 GB,Green / Silver
332543,133859,LGA2011,XL ATX,4,32 GB,Black / Orange
332544,133860,LGA775,Micro ATX,2,8 GB,Blue / White
332545,133861,LGA775,Mini ITX,2,8 GB,
332546,133862,LGA1155,Micro ATX,2,16 GB,Black / Blue
332547,133863,AM3,Micro ATX,2,8 GB,Blue / White
332548,133864,LGA1155,Micro ATX,2,16 GB,Black / Blue
332549,133865,FM1,Micro ATX,2,16 GB,Black / Blue
332550,133866,AM3/AM2+/AM2,ATX,4,16 GB,Black / Blue
332551,133867,AM3/AM2+/AM2,Micro ATX,4,16 GB,Multicolor
332552,133868,FM2,Mini ITX,2,32 GB,Brown / Black
332553,133869,LGA1155,Micro ATX,2,16 GB,
332554,133870,LGA2011,XL ATX,4,32 GB,Black / Red
332555,133871,FM2+,Micro ATX,2,32 GB,Black / Silver
332556,133872,LGA1151,ATX,4,64 GB,Black / White
332557,133873,LGA1151,Micro ATX,4,64 GB,Green
332558,133874,LGA775,ATX,2,8 GB,
332559,133875,AM3,ATX,4,16 GB,Black / Yellow
332560,133876,Integrated Celeron N3150,Mini ITX,2,8 GB,Black / Gold
332561,133877,LGA1156,ATX,4,16 GB,Black / Blue
332562,133878,AM3,ATX,4,16 GB,Multicolor
332563,133879,LGA1156,Micro ATX,2,8 GB,Black / Red
332564,133880,FM1,Micro ATX,2,16 GB,Black / Red
332565,133881,Integrated Atom D2700,Mini ITX,2,4 GB,Black / Blue
332566,133882,LGA1155,Micro ATX,4,32 GB,Black / Red
332567,133883,AM3+,Micro ATX,2,16 GB,Black / Red
332568,133884,LGA1156,Micro ATX,2,8 GB,Blue / White
332569,133885,LGA1156,Micro ATX,4,16 GB,Black / Blue
332570,133886,LGA1156,Micro ATX,2,8 GB,
332571,133887,LGA1150,Mini ITX,2,16 GB,Black / Gray
332572,133888,LGA1151,Micro ATX,2,32 GB,Black / Orange
332573,133889,LGA1366,XL ATX,6,24 GB,
332574,133890,LGA1150,ATX,4,32 GB,Brown / Black
332575,133891,LGA1150,Micro ATX,4,32 GB,Brown / Black
332576,133892,LGA1155,Micro ATX,4,32 GB,Black / Gray
332577,133893,LGA1155,Thin Mini ITX,2,16 GB,Green / Black
332578,133894,FM2,Micro ATX,2,32 GB,Black / Gray
332579,133895,FM2+,Micro ATX,2,32 GB,Black / Red
332580,133896,LGA1150,EATX,4,32 GB,Black / Yellow
332581,133897,LGA1155,Micro ATX,4,32 GB,Blue / White
332582,133898,AM3+,Micro ATX,2,16 GB,Black / Blue
332583,133899,LGA1151,Micro ATX,2,32 GB,Black / Silver
332584,133900,LGA1151,Micro ATX,2,32 GB,Black / Yellow
332585,133901,FM2+,Micro ATX,2,32 GB,Brown / Black
332586,133902,LGA1155,Micro ATX,4,32 GB,
332587,133903,LGA1155,Micro ATX,4,32 GB,Black / Blue
332588,133904,LGA1155,Micro ATX,4,16 GB,Black / Red
332589,133905,LGA1155,Micro ATX,4,32 GB,Black / Blue
332590,133906,LGA1156,Micro ATX,2,8 GB,Black / Blue
332591,133907,LGA1155,EATX,4,32 GB,Black / Red
332592,133908,FM2+,Micro ATX,2,32 GB,Brown / Black
332593,133909,LGA1155,Micro ATX,2,16 GB,Black / White
332594,133910,LGA1151,Micro ATX,4,64 GB,Black / White
332595,133911,FM2,Mini ITX,2,64 GB,Black / Gray
332596,133912,Integrated Xeon D-1537,Flex ATX,4,64 GB,Green
332597,133913,AM3+,Micro ATX,2,16 GB,Black / Silver
332598,133914,LGA1366,ATX,6,24 GB,Black / Blue
332599,133915,LGA1151,Mini ITX,2,32 GB,Black / Gold
332600,133916,LGA1366,ATX,6,24 GB,Black / Gray
332601,133917,LGA1150,Micro ATX,4,32 GB,Brown
332602,133918,FM2+,ATX,2,64 GB,Black / Blue
332603,133919,LGA1155,ATX,4,32 GB,Black
332604,133920,AM1,Micro ATX,2,16 GB,Black / Yellow
332605,133921,LGA1155,Micro ATX,4,32 GB,Black / Blue
332606,133922,AM3,ATX,4,32 GB,Black / Blue
332607,133923,LGA1155,Micro ATX,2,8 GB,
332608,133924,LGA1150,Micro ATX,2,16 GB,
332609,133925,LGA775,Mini ITX,2,4 GB,Black / Yellow
332610,133926,LGA1155,ATX,4,32 GB,
332611,133927,AM3+,ATX,4,32 GB,Black / Blue
332612,133928,FM2,Micro ATX,2,16 GB,Black / Silver
332613,133929,LGA1155,ATX,4,32 GB,Black / Blue
332614,133930,LGA2011-3,EATX,8,64 GB,Black / Orange
332615,133931,LGA1155,ATX,4,32 GB,Black
332616,133932,LGA1366,ATX,6,24 GB,Black / Orange
332617,133933,LGA1155,ATX,4,32 GB,Blue / White
332618,133934,LGA1155,ATX,4,32 GB,Black / Blue
332619,133935,LGA1150,ATX,4,32 GB,Black / Yellow
