keyboard_id,product_id,style,switch_type,backlit,tenkeyless,connection_type,color
312145,121279,Slim,Cherry MX Black,White,Yes,Wired,Black
312146,121280,Slim,Cherry MX Black,No,Yes,Wired,Black / White
312147,121281,Slim,Cherry MX Black,Blue,Yes,Wired,Black
312148,121282,Standard,Cherry MX Black,No,Yes,Wired,Black
312149,121283,Gaming,Cherry MX Red,No,No,Wired,Black
312150,121284,Slim,Cherry MX Black,Red,Yes,Wired,Black
312151,121285,Standard,Cherry MX Black,Green,No,Wired,Black
312152,121286,Standard,Cherry MX Brown,No,No,Wired,Black
312153,121287,Mini,Cherry MX Black,No,Yes,Wired,Black
312154,121288,Standard,Cherry MX Red,Green,Yes,Wired,Black
312155,121289,Standard,Cherry MX Black,Purple,Yes,Wired,Black
312156,121290,Standard,Cherry MX Brown,No,No,Wired,Camo
312157,121291,Standard,Cherry MX Black,No,Yes,Wired,Camo
312158,121292,Standard,Cherry MX Black,No,Yes,Wired,Pink / White
312159,121293,Standard,Cherry MX Red,No,No,Wired,Beige
312160,121294,Standard,Cherry MX Black,No,No,Wired,Camo
312161,121295,Standard,Topre 45g,No,Yes,Wired,Gray
312162,121296,Standard,Cherry MX Brown,No,Yes,Wired,Black
312163,121297,Standard,Cherry MX Blue,No,Yes,Wired,Black
312164,121298,Standard,Cherry MX Black,No,Yes,Wired,Black
312165,121299,Standard,Cherry MX Red,No,Yes,Wired,Black
312166,121300,Standard,Cherry MX Brown,No,Yes,Wired,Black
312167,121301,Standard,Cherry MX Blue,No,Yes,Wired,Black
312168,121302,Standard,Cherry MX Red,No,No,Wired,Black
312169,121303,Standard,Cherry MX Brown,No,No,Wired,Black
312170,121304,Standard,Cherry MX Brown,No,No,Wired,Black
312171,121305,Standard,Cherry MX Blue,No,No,Wired,Black
312172,121306,Standard,Cherry MX Blue,No,No,Wired,Black
312173,121307,Standard,Cherry MX Black,No,No,Wired,Black
312174,121308,Gaming,,Blue,No,Wired,Black
312175,121309,Ergonomic,,No,Yes,Bluetooth Wireless,Black
312176,121310,Gaming,Cherry MX Red,No,No,Wired,Black
312177,121311,Standard,,No,No,Wired,Black
312178,121312,Gaming,Cherry MX Blue,No,No,Wired,Black
312179,121313,Gaming,,Red,No,Wired,Black
312180,121314,Mini,Cherry MX Red,Multicolor,Yes,Wired,Black
312181,121315,Mini,Cherry MX Brown,Multicolor,Yes,Wired,Black
312182,121316,Mini,Cherry MX Blue,Multicolor,Yes,Wired,Black
312183,121317,Mini,Cherry MX Black,Multicolor,Yes,Wired,Black
312184,121318,Mini,Cherry MX Red,Multicolor,Yes,Wired,Black
312185,121319,Mini,Cherry MX Blue,Multicolor,No,Wired,Black
312186,121320,Gaming,Cherry MX Black,Red/Blue,No,Wired,Black
312187,121321,Standard,Cherry MX Red,White,Yes,Wired,Black
312188,121322,Standard,Cherry MX Speed Silver,White,Yes,Wired,Black
312189,121323,Standard,Cherry MX Red,White,No,Wired,Black
312190,121324,Standard,,No,No,Wired,Black / Yellow
312191,121325,Slim,,No,No,Wireless,Black
312192,121326,Gaming,Cherry MX Blue,Blue,No,Wired,Black
312193,121327,Gaming,Cherry MX Red,Multicolor,No,Wired,Black
312194,121328,Gaming,Cherry MX Speed Silver,Multicolor,No,Wired,Black
312195,121329,Standard,,No,No,Wired,Black
312196,121330,Mini,,No,No,Wired,Black
312197,121331,Standard,,No,No,Wired,Green / White
312198,121332,Standard,,No,No,Wired,Black
312199,121333,Standard,,No,No,Wired,Black
312200,121334,Standard,,No,No,Wired,Black
312201,121335,Slim,,No,No,Wireless,Green / White
312202,121336,Gaming,,Multicolor,No,Wired,Black
312203,121337,Standard,,Multicolor,No,Wired,Black
312204,121338,Standard,,No,No,Wired,Black
312205,121339,Standard,,No,No,Wireless,Black / Silver
312206,121340,Slim,,Red,No,Wired,Black
312207,121341,Mini,Cherry MX White,No,Yes,Wired,Black
312208,121342,Standard,,No,No,Wireless,Black
312209,121343,Gaming,Cherry MX Black,No,No,Wired,Black
312210,121344,Standard,,No,Yes,Wireless,Black
312211,121345,Slim,,No,Yes,Bluetooth Wireless,White / Silver
312212,121346,Gaming,,Blue,No,Wired,Black
312213,121347,Mini,,No,Yes,Wireless,Black
312214,121348,Mini,,No,Yes,Wireless,Black
312215,121349,Ergonomic,,No,No,Wired,White
312216,121350,Gaming,Kailh Brown,Multicolor,No,Wired,Black
312217,121351,Mini,,No,No,Wired,Black
312218,121352,Standard,,No,No,Wired,Blue / White
312219,121353,Gaming,,Red,No,Wired,Black
312220,121354,Slim,,No,No,Wireless,Black
312221,121355,Gaming,,Blue,No,Wired,Black / Blue
312222,121356,Standard,,No,No,Wireless,Black
312223,121357,Mini,,No,No,Wireless,Black
312224,121358,Standard,,No,No,Wireless,Black
312225,121359,Mini,,No,Yes,Wireless,Black
312226,121360,Standard,,No,Yes,Wireless,Black
312227,121361,Standard,Cherry MX Blue,No,Yes,Wired,Black
312228,121362,Standard,Cherry MX Brown,No,Yes,Wired,Black
312229,121363,Mini,,No,Yes,Wireless,Black
312230,121364,Slim,,No,Yes,Bluetooth Wireless,Black
312231,121365,Standard,,No,No,Wired,Black
312232,121366,Mini,Cherry MX Brown,Multicolor,Yes,Wired,Black
312233,121367,Standard,,No,No,Wired,Black
312234,121368,Gaming,Cherry MX Blue,Red,No,Wired,Black
312235,121369,Mini,Cherry MX Black,Multicolor,Yes,Wired,Black
312236,121370,Mini,Cherry MX Brown,Multicolor,Yes,Wired,Black
312237,121371,Standard,,No,No,Wireless,Black
312238,121372,Standard,,No,No,Wireless,White
312239,121373,Standard,Cherry MX Blue,No,No,Wired,Black
312240,121374,Standard,Cherry MX Red,No,No,Wired,Black
312241,121375,Standard,Cherry MX Black,No,No,Wired,Black
312242,121376,Standard,Cherry MX Blue,White,No,Wired,Black
312243,121377,Standard,Cherry MY,No,No,Wired,Black
312244,121378,Gaming,,No,No,Wired,Black
312245,121379,Gaming,,Red,No,Wired,Black
312246,121380,Standard,,No,No,Wired,Black
312247,121381,Gaming,Cherry MX Red,Red,No,Wired,Black / Silver
312248,121382,Standard,Cherry MX Blue,Red/Blue,No,Wired,Black
312249,121383,Mini,,No,Yes,Wireless,Black
312250,121384,Standard,ALPS Blue,No,No,Wired,Black
312251,121385,Gaming,,No,No,Wired,Black
312252,121386,Gaming,Tesoro Agile Red,Multicolor,No,Wired,Black
312253,121387,Gaming,Cherry MX Black,Blue,No,Wired,Black
312254,121388,Slim,,No,Yes,Bluetooth Wireless,Black
312255,121389,Slim,,No,No,Wired,Black
312256,121390,Standard,,No,No,Wireless,Black
312257,121391,Ergonomic,,No,No,Bluetooth Wireless,Black
312258,121392,Mini,,No,Yes,Wireless,Silver / Black
312259,121393,Standard,,No,No,Wired,Black
312260,121394,Slim,,No,No,Wired,Black
312261,121395,Standard,,No,No,Wired,Black
312262,121396,Standard,,No,No,Wireless,Black
312263,121397,Standard,,No,No,Wired,Black
312264,121398,Standard,,No,No,Wired,Black
312265,121399,Standard,,No,Yes,Wireless,Black
312266,121400,Mini,,No,Yes,Wireless,Black
312267,121401,Standard,,No,No,Wireless,Black
312268,121402,Standard,,No,No,Wireless,Black
312269,121403,Slim,,No,No,Wireless,Black
312270,121404,Gaming,,No,No,Wired,Black
312271,121405,Standard,,No,No,Wireless,Black
312272,121406,Ergonomic,,No,No,Wired,Black
312273,121407,Ergonomic,,No,No,Wired,Black
312274,121408,Slim,,No,No,Wired,Black
312275,121409,Slim,,No,No,Wireless,Black
312276,121410,Standard,,No,No,Wired,Green / Black
312277,121411,Gaming,Cherry MX Black,No,No,Wired,Black
312278,121412,Ergonomic,,No,No,Wired,Black / Silver
312279,121413,Gaming,Cherry MX Black,No,No,Wired,Black
312280,121414,Standard,,No,No,Wired,Black / Silver
312281,121415,Standard,,No,No,Wireless,Black / Silver
312282,121416,Slim,,No,No,Bluetooth Wireless,Black
